,Description,Processor,RAM,Operating System,Storage,Display,Warranty,Price,ram_in_gb,ddr_version,processor_name,gen_type,OS,disk_drive,size_in_inches,touchscreen,company,graphic_card,SSD,HDD
857,ASUS Ryzen 7 Octa Core 12th Gen - (16 GB/16 GB SSD/Windows 11 Home) M1405YA-KM741WS Laptop,Intel Core i5 Processor (10th Gen),4 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,35.56 cm (14 Inch) Display,,14376180.0,4,4,Intel,10,Windows,SSD,14.0,No,Asus,No,1000,0
858,ASUS EeeBook 12 Celeron Dual Core - (4 GB/64 GB EMMC Storage/Windows 10 Home) E210MA-GJ011T Thin and L...,Intel Core i7 Processor (12th Gen),16 GB DDR5 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,,3820180.0,16,5,Intel,10,Windows,SSD,14.0,Yes,Asus,No,512,0
859,Lenovo IdeaPad 3 Intel Core i3 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 82H801L7IN | 82H802FJIN | ...,Intel Core i7 Processor (8th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,34.04 cm (13.4 Inch) Touchscreen Display,,7096180.0,8,4,Intel,8,Windows,SSD,13.4,Yes,Lenovo,No,512,0
860,MSI Pulse GL66 Core i7 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce RTX 3...,AMD Ryzen 3 Dual Core Processor,8 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Display,,18653180.0,8,4,AMD,0,Windows,SSD,14.0,No,MSI,Yes,1000,0
861,LG Gram Core i5 12th Gen - (8 GB/512 GB SSD/Windows 11 Home) 17Z90Q Thin and Light Laptop,Intel Core i5 Processor (12th Gen),8 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,39.62 cm (15.6 Inch) Display,,18436418.0,8,4,Intel,10,Windows,SSD,15.6,No,Surface,No,512,0
862,HP Ryzen 5 Hexa Core 5600U - (8 GB/512 GB SSD/Windows 11 Home) x360-ay1062au Thin and Light Laptop,AMD Ryzen 7 Octa Core Processor,16 GB DDR4 RAM,64 bit Windows 11 Operating System,512 GB SSD,29.46 cm (11.6 Inch) Display,,15015000.0,16,4,AMD,0,Windows,SSD,11.6,No,HP,No,512,0
863,Lenovo IdeaPad 3 Ryzen 5 Hexa Core 5500U - (8 GB/512 GB SSD/Windows 11 Home) 15ALC6 Thin and Light Lap...,Intel Core i9 Processor (11th Gen),8 GB DDR4 RAM,Windows 11 Operating System,512 GB SSD,35.56 cm (14 Inch) Touchscreen Display,,8003450.0,8,4,Intel,10,Windows,SSD,14.0,Yes,Lenovo,No,512,0
864,Acer Aspire 3 Celeron Dual Core - (4 GB/256 GB SSD/Windows 11 Home) A314-35 Notebook,Intel Celeron Dual Core Processor,16 GB DDR4 RAM,Windows 10 Operating System,1 TB SSD,35.81 cm (14.1 Inch) Display,,7643818.0,16,4,Intel,0,Windows,SSD,14.0,No,Acer,No,1000,0
865,Lenovo Ryzen 3 Quad Core 7320U - (8 GB/512 GB SSD/Windows 11 Home) 15AMN7 Thin and Light Laptop,Intel Core i5 Processor (11th Gen),16 GB DDR4 RAM,64 bit Windows 11 Operating System,1 TB SSD,35.56 cm (14 inch) Display,,7460180.0,16,4,Intel,10,Windows,SSD,14.0,No,Lenovo,No,1000,0
866,DELL Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home/2 GB Graphics) Inspiron 5518 Thin and Light L...,AMD Ryzen 5 Hexa Core Processor,32 GB DDR5 RAM,64 bit Windows 10 Operating System,512 GB SSD,39.62 cm (15.6 inch) Display,,12818260.0,32,5,AMD,0,Windows,SSD,15.6,No,Dell,Yes,512,0
