,Price,ram_in_gb,ddr_version,gen_type,size_in_inches,SSD,HDD,processor_name_name_encoded,OS_name_encoded,disk_drive_name_encoded,touchscreen_name_encoded,company_name_encoded,graphic_card_name_encoded
1045,11828180.0,8,3,8,14.0,256,0,1,3,3,1,0,0
1046,13830180.0,8,4,0,15.6,512,0,0,3,3,0,6,1
1047,10554180.0,8,4,0,15.6,512,0,0,3,3,0,6,0
1048,8370180.0,4,4,8,13.3,256,0,1,3,3,0,0,0
1049,17591574.0,8,4,0,13.0,128,0,2,3,3,1,16,0
1050,35471800.0,16,4,10,13.0,1000,0,1,2,3,0,1,0
1051,9462180.0,8,4,0,15.6,128,1000,0,3,0,0,6,1
1052,9644180.0,8,4,10,14.0,0,2000,1,3,1,0,6,0
1053,6914180.0,4,4,8,15.6,0,1000,1,3,1,0,6,1
1054,13466180.0,8,4,9,15.6,256,1000,1,3,0,0,8,1
1055,9462180.0,8,4,0,15.6,128,1000,0,3,0,0,6,1
1056,31886400.0,16,4,10,13.3,1000,0,1,3,3,1,15,0
1057,9098180.0,8,4,10,15.6,256,1000,1,3,0,0,8,0
1058,12738180.0,8,4,8,15.6,0,1000,1,3,1,0,0,1
1059,8006180.0,4,4,7,15.6,0,1000,1,3,1,0,8,0
1060,13633620.0,8,4,2,14.0,512,0,0,3,3,1,2,0
1061,5458180.0,4,4,8,15.6,0,1000,1,0,1,0,8,0
1062,6859580.0,4,4,10,15.6,0,1000,1,3,1,0,6,0
1063,4912180.0,4,4,0,14.0,0,1000,0,3,1,0,2,0
1064,4990440.0,4,4,0,14.0,0,1000,1,3,1,0,0,0
1065,5458180.0,4,4,0,15.6,0,1000,0,3,1,0,6,0
1066,7460180.0,8,4,10,14.0,0,1000,1,3,1,0,8,0
1067,9802338.0,8,4,10,14.0,256,1000,1,3,0,0,4,0
1068,8779680.0,4,4,8,14.0,256,0,1,3,3,1,6,0
1069,7642180.0,8,3,7,14.0,128,0,1,3,3,0,3,0
1070,10918180.0,8,4,0,15.6,512,0,0,3,3,0,6,1
1071,18198180.0,8,3,10,14.0,512,0,1,3,3,0,2,1
1072,9826180.0,8,4,10,15.6,256,1000,1,3,0,0,6,0
1073,9644180.0,8,4,10,15.6,512,0,1,3,3,0,6,0
1074,20564180.0,8,3,7,12.0,256,0,1,2,3,0,1,0
1075,44442762.0,32,4,9,15.6,1000,0,1,3,3,1,2,1
1076,6277180.0,4,4,10,14.0,256,0,1,3,3,0,6,0
1077,6004180.0,4,4,10,14.0,0,1000,1,3,1,0,8,0
1078,13284180.0,8,4,8,15.6,512,0,1,3,3,0,2,1
1079,15189356.0,8,4,8,13.3,512,0,1,3,3,0,8,0
1080,8526700.0,8,4,10,15.6,0,1000,1,3,1,0,6,0
1081,43661800.0,16,4,9,16.0,1000,0,1,2,3,0,1,1
1082,18744180.0,8,4,10,13.3,512,0,1,3,3,1,15,0
